day,hour_ist,prev_scn,f1,f5,f10,f20,bucket
2017-03-01,13,ALL-ALIGN BULL,-0.5147667061637828,-0.24033624717744173,2.3239956180554078,2.5481231415860117,BULL-LEAN
2017-03-06,10,ALL-ALIGN BULL,-0.18463872727577657,1.3783755138925269,1.7632719544371733,3.365891481516581,BULL-LEAN
2017-03-10,9,ALL-ALIGN BULL,1.7062974632186423,2.1523188073266253,1.2384507333889294,3.385173287966392,BULL-LEAN
2017-03-24,9,ALL-ALIGN BULL,-0.6895037329819886,0.7218928414580494,0.8064339042600066,2.1805006587615416,BULL-LEAN
2017-03-28,10,ALL-ALIGN BULL,0.47248593530238026,1.8058851969057654,1.1279228199718938,2.6519646624472593,BULL-LEAN
2017-04-11,13,ALL-ALIGN BULL,-0.363213164447318,-1.4452744397531636,1.2433690592183577,2.0071451770055093,BULL-LEAN
2017-04-18,9,EARLY-UP,-0.01812161249402644,2.2124841435890774,2.271242099251536,4.619363766659523,BULL-LEAN
2017-04-20,11,EARLY-UP,-0.1860689111685132,2.2519810866424406,1.6297447572347856,3.1905345650365513,BULL-LEAN
2017-05-04,10,ALL-ALIGN BULL,-0.7970170621481087,0.6677421767326663,0.7430634942681147,2.737208730862517,BULL-LEAN
2017-05-09,10,ALL-ALIGN BULL,0.9708216832942318,2.097275366674345,0.7438136279965812,3.4378572156898546,BULL-LEAN
2017-05-16,9,ALL-ALIGN BULL,0.14192225814082526,-1.3256590186338735,1.1805829325343575,0.9950327209650611,BULL-LEAN
2017-05-25,10,BEAR,0.8974999342779899,1.1183259286521752,1.4458844869738918,1.2644917058808103,BEAR/AVOID
