day,eq_strat,eq_bh,close
2017-01-05,0.9784219089960117,0.9939692455550215,8273.8
2017-01-06,0.9784219089960117,0.9903652090341182,8243.8
2017-01-09,0.9784219089960117,0.989434166266218,8236.05
2017-01-10,0.9784219089960117,0.9957472369053341,8288.6
2017-01-11,0.9784219089960117,1.0068056222969726,8380.65
2017-01-12,0.981521561371883,1.0099951946179722,8407.2
2017-01-13,0.9807218393841346,1.0091722729456993,8400.35
2017-01-16,0.982175348690334,1.010667948101874,8412.8
2017-01-17,0.9804474822058561,1.0088899567515617,8398.0
2017-01-18,0.9826656891791725,1.0111725132148006,8417.0
2017-01-19,0.9847788231905951,1.0133469485824123,8435.1
2017-01-20,0.9747677048768117,1.0030454108601634,8349.35
2017-01-23,0.9796886219255111,1.0081090821720327,8391.5
2017-01-24,0.9895304560229097,1.0182364247957711,8475.8
2017-01-25,1.0043515810367265,1.0334875060067275,8602.75
2017-01-27,1.008846368851078,1.0381126862085537,8641.25
2017-01-30,1.0078540130998577,1.037091542527631,8632.75
2017-01-31,0.9995123874028334,1.0285079288803458,8561.3
2017-02-01,1.0176199611692216,1.0471407976934166,8716.4
2017-02-02,1.0197039082467847,1.049285199423354,8734.25
2017-02-03,1.0204861180742173,1.0500901009130226,8740.95
2017-02-06,1.0275026569740233,1.057310187409899,8801.05
2017-02-07,1.0236791686384386,1.0533757808745794,8768.3
2017-02-08,1.023766729440017,1.053465881787602,8769.05
2017-02-09,1.0243458916059767,1.054589139836617,8778.4
2017-02-10,1.0243458916059767,1.0564091782796732,8793.55
2017-02-13,1.0243458916059767,1.0577907256126862,8805.05
2017-02-14,1.0243458916059767,1.056259010091302,8792.3
2017-02-15,1.0243458916059767,1.0481379144642,8724.7
2017-02-16,1.0243458916059767,1.0545410860163382,8778.0
2017-02-17,1.029445449075011,1.0597909658817877,8821.7
2017-02-20,1.0361553931132135,1.0666987025468526,8879.2
2017-02-21,1.039498695664422,1.0701405574243152,8907.85
2017-02-22,1.0417217292979482,1.0724291206150889,8926.9
2017-02-23,1.0431920822524066,1.0739428159538684,8939.5
2017-02-27,1.0381975499944052,1.0688010571840463,8896.7
2017-02-28,1.036202070984783,1.0667467563671311,8879.6
2017-03-01,1.0439272587296355,1.074699663623258,8945.8
2017-03-02,1.0385534687651272,1.0691674675636713,8899.75
2017-03-03,1.0382967404714916,1.0689031715521382,8897.55
2017-03-06,1.0459869198126666,1.0768200384430564,8963.45
2017-03-07,1.0440556228764533,1.0748318116290245,8946.9
2017-03-08,1.0414183231327423,1.0721167707832773,8924.3
2017-03-09,1.0417333987658406,1.0724411340701585,8927.0
2017-03-10,1.0426144435917264,1.0733481499279192,8934.55
2017-03-14,1.0604045473938832,1.0916626621816434,9087.0
2017-03-15,1.0601478191002476,1.0913983661701105,9084.8
2017-03-16,1.0681880824781986,1.0996756367131189,9153.7
2017-03-17,1.0689290936893738,1.100438491110043,9160.05
2017-03-20,1.0645223029338808,1.0964500240269102,9126.85
2017-03-21,1.0645223029338808,1.0958073041806824,9121.5
2017-03-22,1.0645223029338808,1.0848690533397407,9030.45
2017-03-23,1.0645223029338808,1.0915785679961556,9086.3
2017-03-24,1.0645223029338808,1.0941854877462758,9108.0
2017-03-27,1.0571823819167259,1.0866410379625182,9045.2
2017-03-28,1.0636807833268185,1.093320518981259,9100.8
2017-03-29,1.0687065254245518,1.0984863046612205,9143.8
2017-03-30,1.072207013234485,1.1020843344545892,9173.75
2017-03-31,1.072207013234485,1.1020843344545892,9173.75
2017-04-03,1.079698875291804,1.1097849591542528,9237.85
2017-04-05,1.0828896371352486,1.113064632388275,9265.15
2017-04-06,1.0825156284209987,1.1126802018260453,9261.95
2017-04-07,1.075076361339121,1.105033637674195,9198.3
2017-04-10,1.073106971703149,1.1030093704949544,9181.45
2017-04-11,1.0795995292270812,1.1096828447861604,9237.0
2017-04-12,1.0756782816136172,1.1056523306102837,9203.45
2017-04-13,1.0695246694869736,1.099327246516098,9150.8
2017-04-17,1.068180575670138,1.097945699183085,9139.3
2017-04-18,1.0641892014227519,1.09384310427679,9105.15
2017-04-19,1.0639963531794667,1.0936448822681404,9103.5
2017-04-20,1.0678416302728488,1.0975973089860644,9136.4
2017-04-21,1.065854708978396,1.0955550216242191,9119.4
2017-04-24,1.0773730086000621,1.107394281595387,9217.95
2017-04-25,1.0871903516526364,1.1180442095146566,9306.6
2017-04-26,1.0871903516526364,1.1234802979336858,9351.85
2017-04-27,1.0871903516526364,1.122314992791927,9342.15
2017-04-28,1.0871903516526364,1.1177378664103796,9304.05
2017-05-02,1.0871903516526364,1.1189091782796732,9313.8
2017-05-03,1.0871903516526364,1.1186869293608843,9311.95
2017-05-04,1.0871903516526364,1.1244473810667948,9359.9
2017-05-05,1.078525259051937,1.1154853435848149,9285.3
2017-05-08,1.0818646881708394,1.1189392119173474,9314.05
2017-05-09,1.0821899195285063,1.1192755886592984,9316.85
2017-05-10,1.0926960539217134,1.1301417587698221,9407.3
2017-05-11,1.0944499801719891,1.1319557904853434,9422.4
2017-05-12,1.0919526679613318,1.1293728976453627,9400.9
2017-05-15,1.097121523467111,1.1347188851513694,9445.4
2017-05-16,1.1048864221314108,1.1427498798654494,9512.25
2017-05-17,1.106454501891591,1.1443716962998558,9525.75
2017-05-18,1.0952688662689722,1.132802739067756,9429.45
2017-05-19,1.0950888274816921,1.1326165305141758,9427.9
2017-05-22,1.096291021964497,1.1338599231138875,9438.25
2017-05-23,1.0902393956307646,1.1276009130225852,9386.15
2017-05-24,1.0872658517892377,1.1245254685247477,9360.55
2017-05-25,1.1045960369906367,1.1424495434887074,9509.75
2017-05-26,1.114509785696665,1.1527030273906775,9595.1
2017-05-29,1.1156480954484995,1.153880345987506,9604.9
2017-05-30,1.117930522654984,1.1562409899086976,9624.55
2017-05-31,1.1175472142691623,1.1558445458913984,9621.25
2017-06-01,1.116390546368728,1.1552258529553099,9616.1
2017-06-02,1.116390546368728,1.1597188851513696,9653.5
2017-06-05,1.116390546368728,1.16231379144642,9675.1
2017-06-06,1.112011571346796,1.1577546852474772,9637.15
2017-06-07,1.1150982006442052,1.160968284478616,9663.9
2017-06-08,1.113176990259089,1.1589680442095147,9647.25
2017-06-09,1.1156001384925691,1.161490869774147,9668.25
2017-06-12,1.1096172701160956,1.155261893320519,9616.4
2017-06-13,1.1085210840104738,1.1541206150888996,9606.9
2017-06-14,1.1098191991355524,1.1554721287842382,9618.15
2017-06-15,1.1051921398897164,1.1506547333012973,9578.05
2017-06-16,1.1063460200008974,1.1518560788082652,9588.05
2017-06-19,1.1143654867736053,1.1602054300816913,9657.55
2017-06-20,1.113898165328577,1.1597188851513696,9653.5
2017-06-21,1.1116019439073268,1.1573282075925035,9633.6
2017-06-22,1.1111865470673017,1.1568957232099952,9630.0
2017-06-23,1.1048344370552503,1.1502823161941376,9574.95
2017-06-27,1.097501528948695,1.142647765497357,9511.4
2017-06-28,1.0951764605246652,1.1402270543008168,9491.25
2017-06-29,1.0966591964675327,1.1417707832772706,9504.1
2017-06-30,1.0985977150543167,1.1437890437289764,9520.9
2017-07-03,1.1094557269005298,1.1550937049495436,9615.0
2017-07-04,1.1087049374979883,1.1548894762133588,9613.3
2017-07-05,1.1087049374979883,1.1578087457952908,9637.6
2017-07-06,1.1087049374979883,1.1622477174435366,9674.55
2017-07-07,1.1087049374979883,1.1611965401249398,9665.8
2017-07-10,1.1087049374979883,1.173840701585776,9771.05
2017-07-11,1.1104069627729045,1.1756427198462276,9786.05
2017-07-12,1.11381668674032,1.179252763094666,9816.1
2017-07-13,1.1223948941258977,1.1883349351273427,9891.7
2017-07-14,1.1217878384445108,1.187692215281115,9886.35
2017-07-17,1.1251465016536788,1.1912481979817395,9915.95
2017-07-18,1.1150705120261748,1.1805802498798654,9827.15
2017-07-19,1.12329129410402,1.1892839980778471,9899.6
2017-07-20,1.1203070764553336,1.1861244593945217,9873.3
2017-07-21,1.125067073807516,1.1911641037962517,9915.25
2017-07-24,1.13087097999498,1.1973089860643922,9966.4
2017-07-25,1.130661063544407,1.197086737145603,9964.55
2017-07-26,1.1370266380725935,1.2038262854396924,10020.65
2017-07-27,1.1370152912374274,1.2038142719846228,10020.55
2017-07-28,1.1363288077098779,1.2030874579529072,10014.5
2017-07-31,1.1434319265238615,1.2106078808265257,10077.1
2017-08-01,1.147692663128735,1.2151189332051897,10114.65
2017-08-02,1.1439311872711702,1.2111364728495915,10081.5
2017-08-03,1.1362323596109658,1.202985343584815,10013.65
2017-08-04,1.1422178151610876,1.2093224411340702,10066.4
2017-08-07,1.1406260016961398,1.2082412301777992,10057.4
2017-08-08,1.1406260016961398,1.1987686208553578,9978.55
2017-08-09,1.1406260016961398,1.1902991350312349,9908.05
2017-08-10,1.1406260016961398,1.1797513214800577,9820.25
2017-08-11,1.1406260016961398,1.166602594906295,9710.8
2017-08-14,1.1406260016961398,1.1766158097068717,9794.15
2017-08-16,1.1406260016961398,1.1890076886112446,9897.3
2017-08-17,1.1406260016961398,1.1898306102835174,9904.15
2017-08-18,1.1406260016961398,1.1818116290245073,9837.4
2017-08-21,1.1406260016961398,1.17183445458914,9754.35
2017-08-22,1.1406260016961398,1.1731799615569436,9765.55
2017-08-23,1.1406260016961398,1.1836256607400288,9852.5
2017-08-24,1.1406260016961398,1.1841722729456992,9857.05
2017-08-28,1.1406260016961398,1.1908697741470446,9912.8
2017-08-29,1.1406260016961398,1.1768440653531955,9796.05
2017-08-30,1.1406260016961398,1.187457952907256,9884.4
2017-08-31,1.1406260016961398,1.1914824603555982,9917.9
2017-09-01,1.1406260016961398,1.1982700624699663,9974.4
2017-09-04,1.1406260016961398,1.1908757808745796,9912.85
2017-09-05,1.1406260016961398,1.195603075444498,9952.2
2017-09-06,1.1406260016961398,1.191278231619414,9916.2
2017-09-07,1.1406260016961398,1.1929240749639596,9929.9
2017-09-08,1.1406260016961398,1.1935127342623737,9934.8
2017-09-11,1.1488062974867799,1.2020723209995194,10006.05
2017-09-12,1.158794869189035,1.2125240269101392,10093.05
2017-09-13,1.1572162156154029,1.2108721768380586,10079.3
2017-09-14,1.1580543371490404,1.211749159058145,10086.6
2017-09-15,1.1579165637462505,1.2116049975973089,10085.4
2017-09-18,1.165689279886971,1.219738106679481,10153.1
2017-09-19,1.1650520778990683,1.2190713599231138,10147.55
2017-09-20,1.164317286417523,1.2183024987986544,10141.15
2017-09-21,1.162107171414438,1.2159899086977415,10121.9
2017-09-22,1.1440244122982866,1.1970687169629985,9964.4
2017-09-25,1.1334847469848726,1.186040365209034,9872.6
2017-09-26,1.1333584546989819,1.1859082172032676,9871.5
2017-09-27,1.1177728385083943,1.1695999519461797,9735.75
2017-09-28,1.1215845693189102,1.1735884190293129,9768.95
2017-09-29,1.123840608789592,1.1759490629505045,9788.6
2017-10-03,1.131980720671085,1.1844666025949062,9859.5
2017-10-04,1.1383412594332105,1.191122056703508,9914.9
2017-10-05,1.135333206805635,1.1879745314752523,9888.7
2017-10-06,1.1457810231838559,1.1989067755886593,9979.7
2017-10-09,1.1462466542310967,1.1999939932724653,9988.75
2017-10-10,1.1462466542310967,1.2033817876021144,10016.95
2017-10-11,1.1462466542310967,1.1995194617972127,9984.8
2017-10-12,1.15905824050345,1.2129264776549735,10096.4
2017-10-13,1.1672147208318613,1.22146203748198,10167.45
2017-10-16,1.1744929875851513,1.2290785679961558,10230.85
2017-10-17,1.1749062645616788,1.229511052378664,10234.45
2017-10-18,1.1721970043822205,1.2266758769822201,10210.85
2017-10-19,1.1648154183847983,1.218951225372417,10146.55
2017-10-23,1.1692122262184106,1.2235523786641038,10184.85
2017-10-24,1.1718353870277587,1.2262974531475253,10207.7
2017-10-25,1.1818975334146022,1.236827246516098,10295.35
2017-10-26,1.1874595527237015,1.242647765497357,10343.8
2017-10-27,1.185077470150661,1.2401549735703987,10323.05
2017-10-30,1.1897383160526103,1.245032436328688,10363.65
2017-10-31,1.186483759862456,1.2416266218164342,10335.3
2017-11-01,1.1985606315098714,1.2542647765497357,10440.5
2017-11-02,1.1966434855354242,1.2522585295530995,10423.8
2017-11-03,1.1999382214316299,1.255706391158097,10452.5
2017-11-06,1.1998578620195273,1.2556222969726092,10451.8
2017-11-07,1.1881885273906323,1.2434106198942816,10350.15
2017-11-08,1.1827929668637454,1.237764296011533,10303.15
2017-11-09,1.182867072591599,1.2384610764055743,10308.95
2017-11-10,1.182867072591599,1.2399987986544931,10321.75
2017-11-13,1.182867072591599,1.2283697741470447,10224.95
2017-11-14,1.182867072591599,1.2237626141278233,10186.6
2017-11-15,1.182867072591599,1.2155273906775588,10118.05
2017-11-16,1.182867072591599,1.2271444017299376,10214.75
2017-11-17,1.182867072591599,1.235415665545411,10283.6
2017-11-20,1.182867072591599,1.2372357039884672,10298.75
2017-11-21,1.182867072591599,1.2406174915905814,10326.9
2017-11-22,1.182867072591599,1.2424675636713118,10342.3
2017-11-23,1.182867072591599,1.2432424315233062,10348.75
2017-11-24,1.182867072591599,1.2481619413743394,10389.7
2017-11-27,1.182867072591599,1.2493452666987024,10399.55
2017-11-28,1.182867072591599,1.2458253243632869,10370.25
2017-11-29,1.182867072591599,1.2447501201345506,10361.3
2017-11-30,1.182867072591599,1.2285619894281594,10226.55
2017-12-01,1.182867072591599,1.2159778952426716,10121.8
2017-12-04,1.182867072591599,1.2166926958193176,10127.75
2017-12-05,1.182867072591599,1.2155514175876982,10118.25
2017-12-06,1.182867072591599,1.206643440653532,10044.1
2017-12-07,1.182867072591599,1.2213719365689573,10166.7
2017-12-08,1.182867072591599,1.2332592503604036,10265.65
2017-12-11,1.182867072591599,1.2400588659298415,10322.25
2017-12-12,1.182867072591599,1.2301958193176357,10240.15
2017-12-13,1.182867072591599,1.2245254685247478,10192.95
2017-12-14,1.182867072591599,1.2316314271984623,10252.1
2017-12-15,1.182867072591599,1.241380345987506,10333.25
2017-12-18,1.182867072591599,1.2480478135511772,10388.75
2017-12-19,1.182867072591599,1.2569918308505528,10463.2
2017-12-20,1.182867072591599,1.2547092743873138,10444.2
2017-12-21,1.182867072591599,1.2542407496395962,10440.3
2017-12-22,1.182867072591599,1.2605718404613167,10493.0
2017-12-26,1.182867072591599,1.2651970206631427,10531.5
2017-12-27,1.182867072591599,1.2603015377222488,10490.75
2017-12-28,1.1814181922081373,1.2587578087457953,10477.9
2017-12-29,1.1873715684141126,1.2651009130225854,10530.7
2018-01-02,1.1773928980688697,1.2544690052859204,10442.2
2018-01-03,1.1775056514061042,1.2545891398366171,10443.2
2018-01-04,1.184451256979742,1.2619894281595385,10504.8
2018-01-05,1.1905455748572606,1.2684827006246997,10558.85
2018-01-08,1.197846353443187,1.2762614127823162,10623.6
2018-01-09,1.1993572481621275,1.277871215761653,10637.0
2018-01-10,1.1988160321434027,1.2772945699183087,10632.2
2018-01-11,1.200958345550856,1.2795771263815474,10651.2
2018-01-12,1.2043465833347489,1.2831871696299857,10681.25
2018-01-15,1.2111456095699822,1.2904312830370013,10741.55
2018-01-16,1.2065114474096492,1.2854937530033639,10700.45
2018-01-17,1.216445016419998,1.29607760691975,10788.55
2018-01-18,1.2196528488643161,1.2994954348870735,10817.0
2018-01-19,1.2284137831674278,1.3088298894762134,10894.7
2018-01-22,1.2364756467796862,1.3174195098510333,10966.2
2018-01-23,1.2497241639047263,1.331535319557905,11083.7
2018-01-24,1.2499834965803653,1.3318116290245074,11086.0
2018-01-25,1.247515909526825,1.329847429120615,11069.65
2018-01-29,1.247515909526825,1.3371456030754445,11130.4
2018-01-30,1.247515909526825,1.3274447381066794,11049.65
2018-01-31,1.247515909526825,1.3248077847188853,11027.7
2018-02-01,1.247515909526825,1.3235103315713599,11016.9
2018-02-02,1.247515909526825,1.2927198462277751,10760.6
2018-02-05,1.247515909526825,1.281421191734743,10666.55
2018-02-06,1.247515909526825,1.2612025468524748,10498.25
2018-02-07,1.247515909526825,1.2586136472849592,10476.7
2018-02-08,1.247515909526825,1.2706451225372417,10576.85
2018-02-09,1.247515909526825,1.2560007208073043,10454.95
2018-02-12,1.247515909526825,1.2661881307063911,10539.75
2018-02-14,1.247515909526825,1.261520903411821,10500.9
2018-02-15,1.247515909526825,1.2668789043728976,10545.5
2018-02-16,1.247515909526825,1.2556823642479575,10452.3
2018-02-19,1.247515909526825,1.2468044209514657,10378.4
2018-02-20,1.247515909526825,1.2446419990389235,10360.4
2018-02-21,1.247515909526825,1.2490929841422393,10397.45
2018-02-22,1.247515909526825,1.2473209995194618,10382.7
2018-02-23,1.247515909526825,1.260337578087458,10491.05
2018-02-26,1.247515909526825,1.2713358962037482,10582.6
2018-02-27,1.247515909526825,1.2679360884190292,10554.3
2018-02-28,1.247515909526825,1.260553820278712,10492.85
2018-03-01,1.247515909526825,1.2564091782796734,10458.35
2018-03-05,1.247515909526825,1.2444557904853437,10358.85
2018-03-06,1.247515909526825,1.2312890437289765,10249.25
2018-03-07,1.247515909526825,1.2198702546852476,10154.2
2018-03-08,1.247515909526825,1.2304961556943776,10242.65
2018-03-09,1.247515909526825,1.2285980297933685,10226.85
2018-03-12,1.247515909526825,1.251970206631427,10421.4
2018-03-13,1.247515909526825,1.2526249399327247,10426.85
2018-03-14,1.247515909526825,1.250708793849111,10410.9
2018-03-15,1.247515909526825,1.2446119654012493,10360.15
2018-03-16,1.247515909526825,1.2247897645362806,10195.15
2018-03-19,1.247515909526825,1.2126681883709756,10094.25
2018-03-20,1.247515909526825,1.2162842383469485,10124.35
2018-03-21,1.247515909526825,1.2199963959634792,10155.25
2018-03-22,1.247515909526825,1.2151309466602596,10114.75
2018-03-23,1.247515909526825,1.2011112445939451,9998.05
2018-03-26,1.247515909526825,1.2170410860163383,10130.65
2018-03-27,1.247515909526825,1.223468284478616,10184.15
2018-03-28,1.247515909526825,1.215004805382028,10113.7
2018-04-02,1.247515909526825,1.226790004805382,10211.8
2018-04-03,1.247515909526825,1.230778471888515,10245.0
2018-04-04,1.247515909526825,1.2167707832772705,10128.4
2018-04-05,1.247515909526825,1.240407256126862,10325.15
2018-04-06,1.247515909526825,1.2411821239788563,10331.6
2018-04-09,1.247515909526825,1.2469185487746277,10379.35
2018-04-10,1.247515909526825,1.2496696299855838,10402.25
2018-04-11,1.247515909526825,1.251459634790966,10417.15
2018-04-12,1.247515909526825,1.2564452186448822,10458.65
2018-04-13,1.247515909526825,1.2590821720326766,10480.6
2018-04-16,1.2531996380041932,1.264818596828448,10528.35
2018-04-17,1.2556219180987367,1.2672633349351274,10548.7
2018-04-18,1.2529437214340082,1.2645603075444498,10526.2
2018-04-19,1.2575978320824917,1.2692575684766938,10565.3
