week,open,close,ret_pct,regime,n_days
2017-09-01,9912.80,9974.40,0.62,CHOP,5
2017-09-08,9912.85,9934.80,0.22,CHOP,5
2017-09-15,10006.05,10085.40,0.79,RANGE,5
2017-09-22,10153.10,9964.40,-1.86,RANGE,5
2017-09-29,9872.60,9788.60,-0.85,RANGE,5
2017-10-06,9859.50,9979.70,1.22,RANGE,4
2017-10-13,9988.75,10167.45,1.79,RANGE,5
2017-10-19,10230.85,10146.55,-0.82,RANGE,4
2017-10-27,10184.85,10323.05,1.36,RANGE,5
2017-11-03,10363.65,10452.50,0.86,RANGE,5
2017-11-10,10451.80,10321.75,-1.24,RANGE,5
2017-11-17,10224.95,10283.60,0.57,RANGE,5
2017-11-24,10298.75,10389.70,0.88,RANGE,5
2017-12-01,10399.55,10121.80,-2.67,RANGE,5
2017-12-08,10127.75,10265.65,1.36,RANGE,5
2017-12-15,10322.25,10333.25,0.11,RANGE,5
2017-12-22,10388.75,10493.00,1.00,RANGE,5
2017-12-29,10531.50,10530.70,-0.01,RANGE,4
2018-01-05,10442.20,10558.85,1.12,RANGE,4
2018-01-12,10623.60,10681.25,0.54,RANGE,5
2018-01-19,10741.55,10894.70,1.43,RANGE,5
2018-01-25,10966.20,11069.65,0.94,RANGE,4
2018-02-02,11130.40,10760.60,-3.32,TREND UP,5
2018-02-09,10666.55,10454.95,-1.98,TREND DOWN,5
2018-02-16,10539.75,10452.30,-0.83,TREND DOWN,4
2018-02-23,10378.40,10491.05,1.09,TREND DOWN,5
2018-03-01,10582.60,10458.35,-1.17,TREND DOWN,4
2018-03-09,10358.85,10226.85,-1.27,TREND DOWN,5
2018-03-16,10421.40,10195.15,-2.17,RANGE,5
2018-03-23,10094.25,9998.05,-0.95,TREND DOWN,5
2018-03-28,10130.65,10113.70,-0.17,TREND DOWN,3
2018-04-06,10211.80,10331.60,1.17,RANGE,5
2018-04-13,10379.35,10480.60,0.98,RANGE,5
2018-04-20,10528.35,10564.05,0.34,RANGE,5
2018-04-27,10584.70,10692.30,1.02,RANGE,5
2018-05-04,10739.35,10618.25,-1.13,RANGE,4
2018-05-11,10715.50,10806.50,0.85,RANGE,5
2018-05-18,10806.60,10596.40,-1.95,RANGE,5
2018-05-25,10516.70,10605.15,0.84,RANGE,5
2018-06-01,10688.65,10696.20,0.07,RANGE,5
2018-06-08,10628.50,10767.65,1.31,RANGE,5
2018-06-15,10786.95,10817.70,0.29,RANGE,5
2018-06-22,10799.85,10821.85,0.20,RANGE,5
2018-06-29,10762.45,10714.30,-0.45,RANGE,5
2018-07-06,10657.30,10772.65,1.08,CHOP,5
2018-07-13,10852.90,11018.90,1.53,RANGE,5
2018-07-20,10936.85,11010.20,0.67,RANGE,5
2018-07-27,11084.75,11278.35,1.75,RANGE,5
2018-08-03,11319.55,11360.80,0.36,TREND UP,5
2018-08-10,11387.10,11429.50,0.37,TREND UP,5
2018-08-17,11355.75,11470.75,1.01,TREND UP,4
2018-08-24,11551.75,11557.10,0.05,TREND UP,4
2018-08-31,11691.95,11680.50,-0.10,TREND UP,5
2018-09-07,11582.35,11589.10,0.06,TREND UP,5
2018-09-14,11438.10,11515.20,0.67,TREND DOWN,4
2018-09-21,11377.75,11143.10,-2.06,TREND DOWN,4
2018-09-28,10967.40,10930.45,-0.34,TREND DOWN,5
2018-10-05,11008.30,10316.45,-6.28,TREND DOWN,4
2018-10-12,10348.05,10472.50,1.20,TREND DOWN,5
2018-10-19,10512.50,10303.55,-1.99,TREND DOWN,4
2018-10-26,10245.25,10030.00,-2.10,TREND DOWN,5
2018-11-02,10250.85,10553.00,2.95,TREND DOWN,5
2018-11-09,10524.00,10585.20,0.58,TREND UP,4
2018-11-16,10482.20,10682.20,1.91,RANGE,5
2018-11-22,10763.40,10526.75,-2.20,RANGE,4
