Date,momentum_6mo,nifty,ew_88
2021-01-31,2.5054988186821765,1.951410108701097,1.8992498197202676
2021-02-28,3.0435266449022484,2.0794398208113583,2.1142127148786956
2021-03-31,3.1873297067013233,2.102561166729879,2.1583815366727865
2021-04-30,3.380279949571425,2.0940311003928698,2.1988293583360226
2021-05-31,3.6634634304190286,2.2302402301400446,2.388277526975692
2021-06-30,3.711837095132305,2.2500912402229836,2.4468716045880283
2021-07-31,3.781110886758907,2.2560379559327606,2.4797710861510236
2021-08-31,4.068451991842454,2.4519933305186017,2.6462507530877164
2021-09-30,4.002860160031925,2.521543426768092,2.750853619796507
2021-10-31,4.107129781044753,2.5292004494028233,2.811206324375766
2021-11-30,4.041814881319942,2.430668164676079,2.7379122740798056
2021-12-31,4.1125911511044375,2.483744928117016,2.8015122614158323
2022-01-31,4.05836717357062,2.481712596875648,2.8427946323144306
2022-02-28,3.8736430141414804,2.4035751855217864,2.766341524315465
2022-03-31,4.066919111186709,2.4995885244845817,2.865662872423742
2022-04-30,4.28052680921504,2.447749765637858,2.9384115578839936
2022-05-31,3.970635010299235,2.3736126119034493,2.8004545184899055
2022-06-30,3.9042081348307285,2.2584996529293475,2.641991653266089
2022-07-31,4.333618101291922,2.455721656493083,2.9493909029527705
2022-08-31,4.7596424429716215,2.541745085551126,3.133573841110608
2022-09-30,4.82188188718093,2.446576165906927,3.0690043679435943
2022-10-31,5.043058379024707,2.577940618716053,3.218351743910218
2022-11-30,5.383718773032246,2.684731038134834,3.378075556711912
2022-12-31,5.316401700386625,2.591265269319669,3.3039404516359228
2023-01-31,5.041328941873838,2.5278407911779643,3.2045236974610876
2023-02-28,4.884401231270061,2.4765745200048657,3.056427346883609
