symbol,signal_date,tier,entry_date,entry_px,exit_px,exit_date,exit,hold_days,pnl_pct,open,stage_at_signal,rsi_at_signal
ITC,2020-11-19,T2,2020-11-20,181.8,208.28,2020-12-11,time,15,14.57,False,ALL-ALIGN BULL,66.4
ITC,2020-12-24,T1,2020-12-28,201.25,197.78,2021-01-06,stage,8,-1.72,False,ALL-ALIGN BULL,60.5
ITC,2021-08-09,T1,2021-08-10,206.06,200.91,2021-08-11,stage,2,-2.5,False,ALL-ALIGN BULL,61.7
ITC,2021-08-16,T1,2021-08-17,202.98,201.44,2021-08-17,stage,1,-0.76,False,EARLY-UP,54.5
ITC,2021-09-16,T1,2021-09-17,224.36,224.31,2021-10-07,time,15,-0.02,False,TOP-WARNING,80.6
ITC,2021-10-27,T1,2021-10-28,226.38,216.75,2021-10-28,stage,1,-4.25,False,EARLY-UP,51.3
ITC,2022-03-21,T1,2022-03-22,235.48,257.58,2022-04-11,time,15,9.39,False,ALL-ALIGN BULL,71.5
ITC,2022-04-26,T1,2022-04-27,246.7,247.95,2022-04-27,stage,1,0.51,False,ALL-ALIGN BULL,55.0
ITC,2022-04-28,T1,2022-04-29,253.25,250.12,2022-05-10,stage,7,-1.24,False,ALL-ALIGN BULL,57.0
ITC,2022-05-02,T2,2022-05-04,254.21,250.12,2022-05-10,stage,5,-1.61,False,ALL-ALIGN BULL,58.7
ITC,2022-05-05,T2,2022-05-06,249.4,250.12,2022-05-10,stage,3,0.29,False,ALL-ALIGN BULL,56.6
ITC,2022-07-08,T1,2022-07-11,282.13,291.81,2022-07-29,time,15,3.43,False,ALL-ALIGN BULL,70.4
ITC,2022-09-30,T1,2022-10-03,320.55,312.37,2022-10-03,stage,1,-2.55,False,EARLY-UP,53.6
ITC,2022-10-06,T1,2022-10-07,324.31,321.71,2022-10-07,stage,1,-0.8,False,ALL-ALIGN BULL,56.5
ITC,2022-11-03,T1,2022-11-04,340.87,332.45,2022-11-15,stage,7,-2.47,False,ALL-ALIGN BULL,66.3
ITC,2023-02-27,T1,2023-02-28,368.32,362.73,2023-02-28,stage,1,-1.52,False,ALL-ALIGN BULL,63.3
ITC,2023-03-08,T1,2023-03-09,377.56,365.33,2023-03-15,stage,5,-3.24,False,TOP-WARNING,67.3
ITC,2023-04-20,T1,2023-04-21,385.45,404.86,2023-05-12,time,15,5.04,False,ALL-ALIGN BULL,67.6
ITC,2023-06-13,T2,2023-06-14,429.7,428.59,2023-06-27,stage,10,-0.26,False,ALL-ALIGN BULL,62.1
ITC,2023-07-03,T1,2023-07-04,447.76,453.87,2023-07-24,time,15,1.36,False,ALL-ALIGN BULL,71.1
ITC,2024-03-13,T1,2024-03-14,406.3,407.07,2024-04-04,stage,14,0.19,False,EARLY-UP,54.4
ITC,2024-07-15,T1,2024-07-16,446.26,468.27,2024-08-06,time,15,4.93,False,TOP-WARNING,75.6
ITC,2024-09-09,T2,2024-09-10,492.92,492.15,2024-09-16,stage,5,-0.16,False,ALL-ALIGN BULL,60.9
ITC,2025-10-29,T1,2025-10-30,421.6,408.9,2025-11-04,stop,4,-3.01,False,ALL-ALIGN BULL,66.3
ITC,2026-02-18,T1,2026-02-19,334.05,323.5,2026-02-24,stage,4,-3.16,False,EARLY-UP,52.5
ITC,2026-04-17,T1,2026-04-20,307.0,305.0,2026-04-20,stage,1,-0.65,False,EARLY-UP,54.3
ITC,2026-06-16,T1,2026-06-17,291.95,291.15,2026-06-18,stage,2,-0.27,False,EARLY-UP,50.2
LT,2013-10-29,T1,2013-10-30,649.47,619.23,2013-11-12,stage,9,-4.66,False,ALL-ALIGN BULL,69.5
LT,2013-12-03,T1,2013-12-04,697.4,717.33,2013-12-24,time,15,2.86,False,ALL-ALIGN BULL,67.1
LT,2013-12-16,T2,2013-12-17,712.73,674.7,2014-01-03,stage,13,-5.34,False,ALL-ALIGN BULL,56.0
LT,2013-12-23,T2,2013-12-24,714.87,674.7,2014-01-03,stage,8,-5.62,False,ALL-ALIGN BULL,56.1
LT,2013-12-31,T2,2014-01-01,716.77,674.7,2014-01-03,stage,3,-5.87,False,ALL-ALIGN BULL,55.3
LT,2014-03-04,T1,2014-03-05,749.2,850.53,2014-03-26,time,15,13.53,False,TOP-WARNING,72.7
LT,2014-04-17,T2,2014-04-21,848.0,842.37,2014-05-02,stage,9,-0.66,False,ALL-ALIGN BULL,56.6
LT,2014-05-09,T1,2014-05-12,900.0,1030.33,2014-05-30,time,15,14.48,False,ALL-ALIGN BULL,60.6
LT,2014-11-03,T1,2014-11-05,1106.67,1091.2,2014-11-25,stage,14,-1.4,False,TOP-WARNING,72.3
LT,2015-01-05,T1,2015-01-06,1027.33,1002.73,2015-01-06,stage,1,-2.39,False,EARLY-UP,54.5
LT,2015-01-27,T1,2015-01-28,1156.8,1048.3,2015-02-09,stage,9,-9.38,False,TOP-WARNING,77.8
LT,2015-03-05,T1,2015-03-09,1211.47,1168.3,2015-03-10,stage,2,-3.56,False,ALL-ALIGN BULL,66.0
LT,2015-06-24,T1,2015-06-25,1160.07,1246.27,2015-07-15,time,15,7.43,False,ALL-ALIGN BULL,63.3
LT,2015-10-16,T1,2015-10-19,1071.93,1033.63,2015-10-21,stage,3,-3.57,False,EARLY-UP,58.4
LT,2016-05-31,T1,2016-06-01,980.03,996.53,2016-06-21,time,15,1.68,False,TOP-WARNING,73.4
LT,2016-06-30,T1,2016-07-01,1003.2,1034.27,2016-07-13,stage,8,3.1,False,ALL-ALIGN BULL,58.6
LT,2017-01-06,T1,2017-01-09,928.0,920.43,2017-01-09,stage,1,-0.82,False,EARLY-UP,59.0
LT,2017-01-12,T1,2017-01-13,973.33,929.03,2017-01-23,stage,7,-4.55,False,ALL-ALIGN BULL,70.8
LT,2017-01-24,T1,2017-01-25,949.87,986.67,2017-02-15,time,15,3.87,False,EARLY-UP,55.3
LT,2017-01-25,T2,2017-01-27,967.37,986.67,2017-02-15,stage,14,2.0,False,STRONG-FLOW,61.5
LT,2017-04-03,T1,2017-04-05,1107.33,1167.53,2017-04-26,time,15,5.44,False,TOP-WARNING,78.6
LT,2017-05-22,T2,2017-05-23,1170.0,1122.97,2017-05-24,stage,2,-4.02,False,ALL-ALIGN BULL,61.3
LT,2017-05-25,T1,2017-05-26,1180.0,1157.73,2017-06-12,stage,12,-1.89,False,ALL-ALIGN BULL,59.5
LT,2017-06-09,T2,2017-06-12,1185.2,1157.73,2017-06-12,stage,1,-2.32,False,ALL-ALIGN BULL,55.5
LT,2017-09-18,T1,2017-09-19,1235.0,1184.8,2017-09-22,stop,4,-4.06,False,ALL-ALIGN BULL,70.3
LT,2017-11-10,T1,2017-11-13,1229.8,1211.65,2017-12-01,time,15,-1.48,False,TOP-WARNING,69.2
LT,2017-11-17,T2,2017-11-20,1240.0,1220.35,2017-12-08,time,15,-1.58,False,ALL-ALIGN BULL,55.4
